Date;BOF (%nFK)
2006-01-01;99.6
2006-01-02;99.2
2006-01-03;99.5
2006-01-04;99.5
2006-01-05;99.1
2006-01-06;98.8
2006-01-07;98.3
2006-01-08;97.6
2006-01-09;96.6
2006-01-10;95.8
2006-01-11;94.9
2006-01-12;95.2
2006-01-13;94.4
2006-01-14;93.5
2006-01-15;92.6
2006-01-16;91.9
2006-01-17;91.7
2006-01-18;100.0
2006-01-19;99.6
2006-01-20;100.0
2006-01-21;100.0
2006-01-22;99.6
2006-01-23;99.2
2006-01-24;98.5
2006-01-25;98.1
2006-01-26;97.6
2006-01-27;96.7
2006-01-28;95.7
2006-01-29;94.8
2006-01-30;93.9
2006-01-31;93.5
2006-02-01;92.6
2006-02-02;92.3
2006-02-03;91.9
2006-02-04;95.5
2006-02-05;95.1
2006-02-06;96.1
2006-02-07;100.0
2006-02-08;100.0
2006-02-09;100.0
2006-02-10;100.0
2006-02-11;100.0
2006-02-12;99.4
2006-02-13;98.2
2006-02-14;96.7
2006-02-15;99.5
2006-02-16;100.0
2006-02-17;99.7
2006-02-18;99.3
2006-02-19;98.4
2006-02-20;97.8
2006-02-21;97.2
2006-02-22;96.6
2006-02-23;95.7
2006-02-24;94.1
2006-02-25;93.5
2006-02-26;93.0
2006-02-27;91.8
2006-02-28;91.2
2006-03-01;98.8
2006-03-02;97.2
2006-03-03;96.2
2006-03-04;96.1
2006-03-05;94.1
2006-03-06;98.4
2006-03-07;98.3
2006-03-08;96.3
2006-03-09;100.0
2006-03-10;100.0
2006-03-11;100.0
2006-03-12;100.0
2006-03-13;98.7
2006-03-14;97.8
2006-03-15;97.3
2006-03-16;97.9
2006-03-17;97.6
2006-03-18;97.1
2006-03-19;95.6
2006-03-20;94.4
2006-03-21;92.4
2006-03-22;90.5
2006-03-23;88.3
2006-03-24;86.1
2006-03-25;88.9
2006-03-26;95.3
2006-03-27;96.2
2006-03-28;95.2
2006-03-29;93.8
2006-03-30;93.0
2006-03-31;100.0
2006-04-01;98.9
2006-04-02;97.1
2006-04-03;96.3
2006-04-04;95.0
2006-04-05;93.6
2006-04-06;92.0
2006-04-07;90.1
2006-04-08;87.3
2006-04-09;85.3
2006-04-10;84.7
2006-04-11;84.0
2006-04-12;83.3
2006-04-13;84.7
2006-04-14;88.3
2006-04-15;85.5
2006-04-16;89.4
2006-04-17;92.3
2006-04-18;90.3
2006-04-19;88.5
2006-04-20;85.8
2006-04-21;83.3
2006-04-22;82.9
2006-04-23;83.0
2006-04-24;80.5
2006-04-25;77.9
2006-04-26;80.8
2006-04-27;80.0
2006-04-28;81.1
2006-04-29;85.6
2006-04-30;83.9
2006-05-01;81.9
2006-05-02;80.3
2006-05-03;77.7
2006-05-04;76.3
2006-05-05;74.1
2006-05-06;72.3
2006-05-07;70.4
2006-05-08;68.9
2006-05-09;67.3
2006-05-10;65.2
2006-05-11;63.6
2006-05-12;62.1
2006-05-13;62.1
2006-05-14;61.8
2006-05-15;60.8
2006-05-16;61.1
2006-05-17;60.1
2006-05-18;63.0
2006-05-19;62.1
2006-05-20;62.9
2006-05-21;62.1
2006-05-22;61.4
2006-05-23;60.4
2006-05-24;59.5
2006-05-25;59.0
2006-05-26;61.7
2006-05-27;65.5
2006-05-28;66.2
2006-05-29;65.6
2006-05-30;65.5
2006-05-31;66.4
2006-06-01;65.7
2006-06-02;64.2
2006-06-03;63.4
2006-06-04;63.5
2006-06-05;62.8
2006-06-06;64.2
2006-06-07;62.8
2006-06-08;61.4
2006-06-09;59.8
2006-06-10;58.0
2006-06-11;56.0
2006-06-12;53.9
2006-06-13;51.8
2006-06-14;49.9
2006-06-15;48.5
2006-06-16;47.9
2006-06-17;47.1
2006-06-18;45.5
2006-06-19;46.7
2006-06-20;46.0
2006-06-21;45.4
2006-06-22;44.4
2006-06-23;43.4
2006-06-24;42.0
2006-06-25;40.5
2006-06-26;38.9
2006-06-27;41.6
2006-06-28;41.0
2006-06-29;40.3
2006-06-30;42.4
2006-07-01;41.0
2006-07-02;39.2
2006-07-03;37.4
2006-07-04;35.7
2006-07-05;34.0
2006-07-06;32.5
2006-07-07;31.1
2006-07-08;31.9
2006-07-09;30.6
2006-07-10;29.0
2006-07-11;27.6
2006-07-12;26.4
2006-07-13;25.4
2006-07-14;24.5
2006-07-15;23.4
2006-07-16;21.9
2006-07-17;20.4
2006-07-18;18.9
2006-07-19;17.3
2006-07-20;15.8
2006-07-21;14.5
2006-07-22;13.0
2006-07-23;12.4
2006-07-24;11.0
2006-07-25;9.7
2006-07-26;8.7
2006-07-27;7.2
2006-07-28;6.4
2006-07-29;6.4
2006-07-30;4.9
2006-07-31;4.3
2006-08-01;3.5
2006-08-02;2.5
2006-08-03;1.4
2006-08-04;1.3
2006-08-05;27.8
2006-08-06;50.0
2006-08-07;52.9
2006-08-08;50.8
2006-08-09;50.4
2006-08-10;51.7
2006-08-11;52.6
2006-08-12;51.2
2006-08-13;51.7
2006-08-14;50.6
2006-08-15;60.6
2006-08-16;56.8
2006-08-17;52.2
2006-08-18;56.8
2006-08-19;51.5
2006-08-20;49.6
2006-08-21;48.3
2006-08-22;49.0
2006-08-23;48.5
2006-08-24;45.9
2006-08-25;51.9
2006-08-26;67.7
2006-08-27;67.3
2006-08-28;67.4
2006-08-29;74.2
2006-08-30;81.3
2006-08-31;79.8
2006-09-01;77.5
2006-09-02;74.1
2006-09-03;75.3
2006-09-04;69.8
2006-09-05;66.8
2006-09-06;63.3
2006-09-07;62.0
2006-09-08;59.1
2006-09-09;57.5
2006-09-10;53.6
2006-09-11;50.8
2006-09-12;48.2
2006-09-13;45.1
2006-09-14;43.0
2006-09-15;41.1
2006-09-16;39.6
2006-09-17;38.0
2006-09-18;35.9
2006-09-19;35.0
2006-09-20;34.1
2006-09-21;32.3
2006-09-22;30.9
2006-09-23;29.3
2006-09-24;28.0
2006-09-25;26.6
2006-09-26;25.5
2006-09-27;27.9
2006-09-28;27.1
2006-09-29;26.1
2006-09-30;25.2
2006-10-01;32.6
2006-10-02;36.3
2006-10-03;47.1
2006-10-04;57.2
2006-10-05;60.6
2006-10-06;59.4
2006-10-07;64.1
2006-10-08;61.1
2006-10-09;59.3
2006-10-10;57.6
2006-10-11;56.7
2006-10-12;55.1
2006-10-13;55.4
2006-10-14;55.5
2006-10-15;55.4
2006-10-16;55.0
2006-10-17;53.7
2006-10-18;53.1
2006-10-19;52.1
2006-10-20;52.0
2006-10-21;52.0
2006-10-22;51.3
2006-10-23;50.9
2006-10-24;52.2
2006-10-25;51.9
2006-10-26;51.2
2006-10-27;50.2
2006-10-28;58.4
2006-10-29;92.1
2006-10-30;91.0
2006-10-31;90.5
2006-11-01;90.3
2006-11-02;90.3
2006-11-03;89.3
2006-11-04;95.8
2006-11-05;100.0
2006-11-06;99.7
2006-11-07;98.7
2006-11-08;97.4
2006-11-09;100.0
2006-11-10;99.7
2006-11-11;99.9
2006-11-12;100.0
2006-11-13;100.0
2006-11-14;99.3
2006-11-15;97.6
2006-11-16;95.9
2006-11-17;95.4
2006-11-18;94.6
2006-11-19;94.6
2006-11-20;94.5
2006-11-21;100.0
2006-11-22;99.4
2006-11-23;99.6
2006-11-24;99.0
2006-11-25;98.4
2006-11-26;97.3
2006-11-27;96.0
2006-11-28;95.1
2006-11-29;94.7
2006-11-30;94.1
2006-12-01;92.9
2006-12-02;91.9
2006-12-03;91.3
2006-12-04;92.1
2006-12-05;94.1
2006-12-06;94.1
2006-12-07;93.1
2006-12-08;92.1
2006-12-09;100.0
2006-12-10;99.9
2006-12-11;100.0
2006-12-12;100.0
2006-12-13;100.0
2006-12-14;99.0
2006-12-15;97.9
2006-12-16;100.0
2006-12-17;100.0
2006-12-18;99.7
2006-12-19;99.3
2006-12-20;100.0
2006-12-21;99.7
2006-12-22;99.2
2006-12-23;98.8
2006-12-24;98.4
2006-12-25;98.9
2006-12-26;98.1
2006-12-27;97.3
2006-12-28;100.0
2006-12-29;99.6
2006-12-30;99.5
2006-12-31;99.2
2007-01-01;100.0
2007-01-02;100.0
2007-01-03;100.0
2007-01-04;100.0
2007-01-05;100.0
2007-01-06;100.0
2007-01-07;100.0
2007-01-08;99.6
2007-01-09;100.0
2007-01-10;100.0
2007-01-11;100.0
2007-01-12;100.0
2007-01-13;99.4
2007-01-14;100.0
2007-01-15;98.7
2007-01-16;97.8
2007-01-17;97.2
2007-01-18;100.0
2007-01-19;100.0
2007-01-20;100.0
2007-01-21;98.7
2007-01-22;98.7
2007-01-23;98.4
2007-01-24;100.0
2007-01-25;100.0
2007-01-26;99.3
2007-01-27;100.0
2007-01-28;100.0
2007-01-29;100.0
2007-01-30;100.0
2007-01-31;100.0
2007-02-01;99.3
2007-02-02;100.0
2007-02-03;100.0
