Date;BOF (%nFK)
2006-01-01;99.6
2006-01-02;99.2
2006-01-03;99.5
2006-01-04;99.5
2006-01-05;99.1
2006-01-06;98.8
2006-01-07;98.3
2006-01-08;97.6
2006-01-09;96.6
2006-01-10;95.8
2006-01-11;94.9
2006-01-12;95.2
2006-01-13;94.4
2006-01-14;93.5
2006-01-15;92.6
2006-01-16;91.9
2006-01-17;91.8
2006-01-18;100.0
2006-01-19;99.6
2006-01-20;100.0
2006-01-21;100.0
2006-01-22;99.6
2006-01-23;99.2
2006-01-24;98.5
2006-01-25;98.1
2006-01-26;97.6
2006-01-27;96.7
2006-01-28;95.7
2006-01-29;94.8
2006-01-30;93.9
2006-01-31;93.5
2006-02-01;92.6
2006-02-02;92.3
2006-02-03;91.9
2006-02-04;95.5
2006-02-05;95.1
2006-02-06;96.1
2006-02-07;100.0
2006-02-08;100.0
2006-02-09;100.0
2006-02-10;100.0
2006-02-11;100.0
2006-02-12;99.4
2006-02-13;98.2
2006-02-14;96.7
2006-02-15;99.5
2006-02-16;100.0
2006-02-17;99.7
2006-02-18;99.3
2006-02-19;98.4
2006-02-20;97.8
2006-02-21;97.2
2006-02-22;96.6
2006-02-23;95.7
2006-02-24;94.1
2006-02-25;93.5
2006-02-26;93.0
2006-02-27;91.8
2006-02-28;91.2
2006-03-01;98.8
2006-03-02;97.2
2006-03-03;96.3
2006-03-04;96.2
2006-03-05;94.2
2006-03-06;98.4
2006-03-07;98.3
2006-03-08;96.2
2006-03-09;100.0
2006-03-10;100.0
2006-03-11;100.0
2006-03-12;100.0
2006-03-13;98.6
2006-03-14;97.6
2006-03-15;97.0
2006-03-16;97.6
2006-03-17;97.3
2006-03-18;96.8
2006-03-19;95.0
2006-03-20;93.6
2006-03-21;91.2
2006-03-22;88.8
2006-03-23;86.3
2006-03-24;83.7
2006-03-25;86.8
2006-03-26;94.8
2006-03-27;95.9
2006-03-28;94.5
2006-03-29;92.7
2006-03-30;91.8
2006-03-31;100.0
2006-04-01;98.6
2006-04-02;96.3
2006-04-03;95.2
2006-04-04;93.5
2006-04-05;91.6
2006-04-06;89.4
2006-04-07;86.8
2006-04-08;82.9
2006-04-09;80.4
2006-04-10;79.6
2006-04-11;78.3
2006-04-12;77.4
2006-04-13;79.7
2006-04-14;84.7
2006-04-15;80.7
2006-04-16;86.3
2006-04-17;90.8
2006-04-18;87.3
2006-04-19;84.6
2006-04-20;80.2
2006-04-21;76.6
2006-04-22;76.5
2006-04-23;76.3
2006-04-24;73.0
2006-04-25;68.7
2006-04-26;74.5
2006-04-27;73.0
2006-04-28;75.6
2006-04-29;83.4
2006-04-30;80.4
2006-05-01;76.4
2006-05-02;73.1
2006-05-03;68.3
2006-05-04;65.0
2006-05-05;61.2
2006-05-06;57.9
2006-05-07;54.5
2006-05-08;51.8
2006-05-09;48.9
2006-05-10;46.1
2006-05-11;43.2
2006-05-12;40.5
2006-05-13;40.6
2006-05-14;39.4
2006-05-15;37.2
2006-05-16;38.6
2006-05-17;39.3
2006-05-18;46.0
2006-05-19;44.9
2006-05-20;47.3
2006-05-21;46.0
2006-05-22;44.8
2006-05-23;43.3
2006-05-24;41.0
2006-05-25;40.8
2006-05-26;48.4
2006-05-27;60.4
2006-05-28;62.1
2006-05-29;61.1
2006-05-30;61.5
2006-05-31;63.4
2006-06-01;61.9
2006-06-02;59.7
2006-06-03;58.6
2006-06-04;59.5
2006-06-05;58.1
2006-06-06;62.8
2006-06-07;59.6
2006-06-08;58.0
2006-06-09;54.8
2006-06-10;51.5
2006-06-11;49.4
2006-06-12;45.9
2006-06-13;42.6
2006-06-14;41.1
2006-06-15;38.9
2006-06-16;38.7
2006-06-17;37.5
2006-06-18;36.9
2006-06-19;42.2
2006-06-20;42.4
2006-06-21;43.8
2006-06-22;42.2
2006-06-23;42.0
2006-06-24;39.7
2006-06-25;38.9
2006-06-26;37.9
2006-06-27;47.2
2006-06-28;47.3
2006-06-29;46.1
2006-06-30;51.7
2006-07-01;50.4
2006-07-02;48.6
2006-07-03;46.9
2006-07-04;45.5
2006-07-05;43.9
2006-07-06;44.0
2006-07-07;44.1
2006-07-08;48.0
2006-07-09;48.0
2006-07-10;47.5
2006-07-11;47.3
2006-07-12;46.5
2006-07-13;46.0
2006-07-14;45.7
2006-07-15;45.0
2006-07-16;43.9
2006-07-17;42.9
2006-07-18;41.8
2006-07-19;40.7
2006-07-20;39.7
2006-07-21;38.2
2006-07-22;37.4
2006-07-23;36.7
2006-07-24;36.2
2006-07-25;34.7
2006-07-26;34.6
2006-07-27;33.1
2006-07-28;33.3
2006-07-29;33.5
2006-07-30;32.1
2006-07-31;31.6
2006-08-01;30.9
2006-08-02;30.2
2006-08-03;29.3
2006-08-04;29.2
2006-08-05;41.9
2006-08-06;52.1
2006-08-07;52.9
2006-08-08;52.5
2006-08-09;51.7
2006-08-10;52.6
2006-08-11;53.1
2006-08-12;52.3
2006-08-13;52.5
2006-08-14;52.4
2006-08-15;56.8
2006-08-16;55.7
2006-08-17;53.9
2006-08-18;56.3
2006-08-19;54.5
2006-08-20;53.9
2006-08-21;53.6
2006-08-22;54.2
2006-08-23;53.9
2006-08-24;52.9
2006-08-25;56.0
2006-08-26;64.3
2006-08-27;64.8
2006-08-28;65.5
2006-08-29;69.7
2006-08-30;73.7
2006-08-31;73.5
2006-09-01;72.8
2006-09-02;71.4
2006-09-03;72.5
2006-09-04;70.3
2006-09-05;68.8
2006-09-06;67.7
2006-09-07;66.5
2006-09-08;65.6
2006-09-09;64.7
2006-09-10;62.5
2006-09-11;60.1
2006-09-12;57.9
2006-09-13;55.7
2006-09-14;53.8
2006-09-15;51.9
2006-09-16;51.0
2006-09-17;49.3
2006-09-18;47.6
2006-09-19;47.1
2006-09-20;46.1
2006-09-21;44.5
2006-09-22;42.9
2006-09-23;41.3
2006-09-24;39.7
2006-09-25;38.2
2006-09-26;37.0
2006-09-27;39.6
2006-09-28;38.6
2006-09-29;37.3
2006-09-30;36.2
2006-10-01;44.4
2006-10-02;48.9
2006-10-03;61.4
2006-10-04;75.2
2006-10-05;79.2
2006-10-06;78.5
2006-10-07;84.3
2006-10-08;82.0
2006-10-09;79.2
2006-10-10;76.7
2006-10-11;74.3
2006-10-12;72.4
2006-10-13;71.9
2006-10-14;71.1
2006-10-15;70.2
2006-10-16;68.9
2006-10-17;67.4
2006-10-18;65.9
2006-10-19;64.7
2006-10-20;64.0
2006-10-21;64.0
2006-10-22;62.7
2006-10-23;62.2
2006-10-24;63.2
2006-10-25;62.8
2006-10-26;61.6
2006-10-27;60.4
2006-10-28;69.6
2006-10-29;100.0
2006-10-30;98.8
2006-10-31;98.2
2006-11-01;97.9
2006-11-02;97.5
2006-11-03;96.4
2006-11-04;100.0
2006-11-05;100.0
2006-11-06;99.7
2006-11-07;98.6
2006-11-08;97.3
2006-11-09;100.0
2006-11-10;99.7
2006-11-11;99.9
2006-11-12;100.0
2006-11-13;100.0
2006-11-14;99.2
2006-11-15;97.5
2006-11-16;95.8
2006-11-17;95.2
2006-11-18;94.5
2006-11-19;94.5
2006-11-20;94.4
2006-11-21;100.0
2006-11-22;99.4
2006-11-23;99.6
2006-11-24;99.0
2006-11-25;98.4
2006-11-26;97.3
2006-11-27;96.0
2006-11-28;95.1
2006-11-29;94.7
2006-11-30;94.1
2006-12-01;92.9
2006-12-02;91.9
2006-12-03;91.3
2006-12-04;92.1
2006-12-05;94.1
2006-12-06;94.1
2006-12-07;93.1
2006-12-08;92.1
2006-12-09;100.0
2006-12-10;99.9
2006-12-11;100.0
2006-12-12;100.0
2006-12-13;100.0
2006-12-14;99.0
2006-12-15;97.9
2006-12-16;100.0
2006-12-17;100.0
2006-12-18;99.7
2006-12-19;99.3
2006-12-20;100.0
2006-12-21;99.7
2006-12-22;99.2
2006-12-23;98.8
2006-12-24;98.4
2006-12-25;98.9
2006-12-26;98.1
2006-12-27;97.3
2006-12-28;100.0
2006-12-29;99.6
2006-12-30;99.5
2006-12-31;99.2
2007-01-01;100.0
2007-01-02;100.0
2007-01-03;100.0
2007-01-04;100.0
2007-01-05;100.0
2007-01-06;100.0
2007-01-07;100.0
2007-01-08;99.6
2007-01-09;100.0
2007-01-10;100.0
2007-01-11;100.0
2007-01-12;100.0
2007-01-13;99.4
2007-01-14;100.0
2007-01-15;98.7
2007-01-16;97.8
2007-01-17;97.2
2007-01-18;100.0
2007-01-19;100.0
2007-01-20;100.0
2007-01-21;98.7
2007-01-22;98.7
2007-01-23;98.4
2007-01-24;100.0
2007-01-25;100.0
2007-01-26;99.3
2007-01-27;100.0
2007-01-28;100.0
2007-01-29;100.0
2007-01-30;100.0
2007-01-31;100.0
2007-02-01;99.3
2007-02-02;100.0
2007-02-03;100.0
