Date;BOF (%nFK)
2006-01-01;99.5
2006-01-02;99.1
2006-01-03;100.0
2006-01-04;100.0
2006-01-05;99.6
2006-01-06;99.2
2006-01-07;98.8
2006-01-08;98.0
2006-01-09;97.2
2006-01-10;96.3
2006-01-11;95.3
2006-01-12;95.4
2006-01-13;94.5
2006-01-14;93.6
2006-01-15;92.8
2006-01-16;92.0
2006-01-17;93.9
2006-01-18;97.1
2006-01-19;96.7
2006-01-20;100.0
2006-01-21;100.0
2006-01-22;100.0
2006-01-23;99.6
2006-01-24;98.7
2006-01-25;98.4
2006-01-26;97.9
2006-01-27;97.1
2006-01-28;96.1
2006-01-29;95.2
2006-01-30;94.3
2006-01-31;93.9
2006-02-01;92.9
2006-02-02;92.1
2006-02-03;91.9
2006-02-04;95.8
2006-02-05;95.3
2006-02-06;94.6
2006-02-07;100.0
2006-02-08;100.0
2006-02-09;100.0
2006-02-10;100.0
2006-02-11;100.0
2006-02-12;99.6
2006-02-13;98.5
2006-02-14;97.1
2006-02-15;100.0
2006-02-16;100.0
2006-02-17;99.0
2006-02-18;99.2
2006-02-19;97.9
2006-02-20;97.5
2006-02-21;97.0
2006-02-22;96.4
2006-02-23;95.6
2006-02-24;94.1
2006-02-25;93.5
2006-02-26;94.5
2006-02-27;93.1
2006-02-28;92.7
2006-03-01;94.6
2006-03-02;92.8
2006-03-03;93.6
2006-03-04;93.1
2006-03-05;91.3
2006-03-06;93.9
2006-03-07;93.5
2006-03-08;91.7
2006-03-09;100.0
2006-03-10;100.0
2006-03-11;100.0
2006-03-12;100.0
2006-03-13;98.7
2006-03-14;97.5
2006-03-15;97.1
2006-03-16;98.4
2006-03-17;99.9
2006-03-18;99.7
2006-03-19;98.1
2006-03-20;96.6
2006-03-21;95.1
2006-03-22;93.4
2006-03-23;91.1
2006-03-24;89.1
2006-03-25;92.9
2006-03-26;97.3
2006-03-27;98.0
2006-03-28;97.0
2006-03-29;95.5
2006-03-30;96.9
2006-03-31;100.0
2006-04-01;98.9
2006-04-02;97.6
2006-04-03;97.5
2006-04-04;96.5
2006-04-05;95.1
2006-04-06;93.5
2006-04-07;91.8
2006-04-08;88.9
2006-04-09;87.1
2006-04-10;87.0
2006-04-11;86.4
2006-04-12;86.1
2006-04-13;87.2
2006-04-14;86.6
2006-04-15;84.6
2006-04-16;86.7
2006-04-17;91.6
2006-04-18;89.7
2006-04-19;88.1
2006-04-20;85.4
2006-04-21;83.4
2006-04-22;82.6
2006-04-23;81.8
2006-04-24;79.8
2006-04-25;77.4
2006-04-26;76.2
2006-04-27;76.3
2006-04-28;77.1
2006-04-29;82.8
2006-04-30;81.5
2006-05-01;80.0
2006-05-02;78.4
2006-05-03;76.1
2006-05-04;74.6
2006-05-05;72.6
2006-05-06;71.0
2006-05-07;69.3
2006-05-08;67.9
2006-05-09;66.3
2006-05-10;64.3
2006-05-11;62.8
2006-05-12;61.4
2006-05-13;62.7
2006-05-14;63.5
2006-05-15;62.6
2006-05-16;65.8
2006-05-17;64.9
2006-05-18;66.2
2006-05-19;65.1
2006-05-20;65.9
2006-05-21;65.2
2006-05-22;64.3
2006-05-23;63.1
2006-05-24;62.1
2006-05-25;62.5
2006-05-26;66.3
2006-05-27;69.5
2006-05-28;69.1
2006-05-29;70.6
2006-05-30;71.4
2006-05-31;72.2
2006-06-01;71.2
2006-06-02;69.5
2006-06-03;68.7
2006-06-04;68.5
2006-06-05;67.9
2006-06-06;69.0
2006-06-07;67.3
2006-06-08;65.7
2006-06-09;63.9
2006-06-10;62.1
2006-06-11;60.1
2006-06-12;58.0
2006-06-13;55.9
2006-06-14;53.9
2006-06-15;52.5
2006-06-16;61.1
2006-06-17;60.1
2006-06-18;58.2
2006-06-19;59.2
2006-06-20;57.3
2006-06-21;59.5
2006-06-22;58.3
2006-06-23;57.1
2006-06-24;55.3
2006-06-25;53.7
2006-06-26;51.8
2006-06-27;52.8
2006-06-28;52.2
2006-06-29;51.5
2006-06-30;55.3
2006-07-01;53.5
2006-07-02;51.4
2006-07-03;49.4
2006-07-04;47.5
2006-07-05;45.5
