Date;BOF (%nFK)
2006-01-01;99.5
2006-01-02;99.1
2006-01-03;100.0
2006-01-04;100.0
2006-01-05;99.6
2006-01-06;99.2
2006-01-07;98.8
2006-01-08;98.0
2006-01-09;97.2
2006-01-10;96.3
2006-01-11;95.3
2006-01-12;95.4
2006-01-13;94.5
2006-01-14;93.6
2006-01-15;92.8
2006-01-16;92.0
2006-01-17;93.9
2006-01-18;97.1
2006-01-19;96.8
2006-01-20;100.0
2006-01-21;100.0
2006-01-22;100.0
2006-01-23;99.6
2006-01-24;98.7
2006-01-25;98.4
2006-01-26;97.9
2006-01-27;97.1
2006-01-28;96.1
2006-01-29;95.2
2006-01-30;94.3
2006-01-31;93.9
2006-02-01;92.9
2006-02-02;92.1
2006-02-03;91.9
2006-02-04;95.8
2006-02-05;95.3
2006-02-06;94.7
2006-02-07;100.0
2006-02-08;100.0
2006-02-09;100.0
2006-02-10;100.0
2006-02-11;100.0
2006-02-12;99.6
2006-02-13;98.5
2006-02-14;97.1
2006-02-15;100.0
2006-02-16;100.0
2006-02-17;99.0
2006-02-18;99.2
2006-02-19;97.9
2006-02-20;97.5
2006-02-21;97.0
2006-02-22;96.4
2006-02-23;95.6
2006-02-24;94.1
2006-02-25;93.5
2006-02-26;94.5
2006-02-27;93.1
2006-02-28;92.7
2006-03-01;94.6
2006-03-02;92.8
2006-03-03;93.6
2006-03-04;93.1
2006-03-05;91.3
2006-03-06;93.7
2006-03-07;93.3
2006-03-08;91.5
2006-03-09;100.0
2006-03-10;100.0
2006-03-11;100.0
2006-03-12;100.0
2006-03-13;98.5
2006-03-14;97.2
2006-03-15;96.9
2006-03-16;98.2
2006-03-17;99.9
2006-03-18;99.7
2006-03-19;97.9
2006-03-20;96.1
2006-03-21;94.3
2006-03-22;92.2
2006-03-23;89.5
2006-03-24;87.1
2006-03-25;91.6
2006-03-26;97.0
2006-03-27;97.9
2006-03-28;96.6
2006-03-29;94.7
2006-03-30;96.5
2006-03-31;100.0
2006-04-01;98.6
2006-04-02;97.0
2006-04-03;96.7
2006-04-04;95.5
2006-04-05;93.7
2006-04-06;91.4
2006-04-07;89.1
2006-04-08;85.0
2006-04-09;82.7
2006-04-10;82.7
2006-04-11;81.5
2006-04-12;81.2
2006-04-13;82.9
2006-04-14;81.8
2006-04-15;79.2
2006-04-16;82.1
2006-04-17;89.6
2006-04-18;86.5
2006-04-19;84.0
2006-04-20;79.7
2006-04-21;76.9
2006-04-22;76.0
2006-04-23;74.4
2006-04-24;71.7
2006-04-25;67.8
2006-04-26;65.8
2006-04-27;65.6
2006-04-28;67.7
2006-04-29;77.7
2006-04-30;75.5
2006-05-01;72.5
2006-05-02;69.4
2006-05-03;65.2
2006-05-04;61.8
2006-05-05;58.3
2006-05-06;55.4
2006-05-07;52.4
2006-05-08;49.8
2006-05-09;47.0
2006-05-10;44.3
2006-05-11;41.5
2006-05-12;39.0
2006-05-13;42.5
2006-05-14;44.3
2006-05-15;42.1
2006-05-16;51.8
2006-05-17;51.9
2006-05-18;54.9
2006-05-19;53.0
2006-05-20;55.2
2006-05-21;53.8
2006-05-22;51.7
2006-05-23;49.7
2006-05-24;47.1
2006-05-25;49.3
2006-05-26;59.2
2006-05-27;69.2
2006-05-28;67.1
2006-05-29;71.6
2006-05-30;74.4
2006-05-31;75.7
2006-06-01;73.0
2006-06-02;69.4
2006-06-03;67.7
2006-06-04;67.6
2006-06-05;66.2
2006-06-06;69.9
2006-06-07;65.7
2006-06-08;63.2
2006-06-09;59.6
2006-06-10;56.2
2006-06-11;53.8
2006-06-12;50.3
2006-06-13;46.8
2006-06-14;45.1
2006-06-15;42.9
2006-06-16;63.3
2006-06-17;61.2
2006-06-18;58.0
2006-06-19;62.1
2006-06-20;58.1
2006-06-21;65.7
2006-06-22;63.1
2006-06-23;61.6
2006-06-24;58.1
2006-06-25;56.4
2006-06-26;54.3
2006-06-27;59.3
2006-06-28;59.2
2006-06-29;57.9
2006-06-30;66.2
2006-07-01;63.6
2006-07-02;61.0
2006-07-03;58.7
2006-07-04;56.6
2006-07-05;54.5
