Date;BOF (%nFK)
1961-01-01;99.1
1961-01-08;99.88571
1961-01-15;99.85714
1961-01-22;98.25714
1961-01-29;98.8
1961-02-05;99.74286
1961-02-12;99.442856
1961-02-19;96.27143
1961-02-26;90.58572
1961-03-05;96.542854
1961-03-12;86.84286
1961-03-19;81.21429
1961-03-26;94.82857
1961-04-02;99.78571
1961-04-09;98.67143
1961-04-16;93.75714
1961-04-23;86.942856
1961-04-30;69.3
1961-05-07;80.314285
1961-05-14;98.38571
1961-05-21;90.442856
1961-05-28;75.35714
1961-06-04;92.48572
1961-06-11;79.557144
1961-06-18;87.042854
1961-06-25;64.957146
1961-07-02;56.62857
1961-07-09;54.6
1961-07-16;66.057144
1961-07-23;74.11429
1961-07-30;72.78571
1961-08-06;72.5
1961-08-13;75.35715
1961-08-20;82.557144
1961-08-27;81.88571
1961-09-03;67.7
1961-09-10;63.75714
1961-09-17;62.885715
1961-09-24;52.9
1961-10-01;46.257145
1961-10-08;42.842857
1961-10-15;40.3
1961-10-22;41.9
1961-10-29;65.17143
1961-11-05;70.057144
1961-11-12;93.6
1961-11-19;99.07143
1961-11-26;97.74286
1961-12-03;99.9
1961-12-10;98.51428
1961-12-17;99.21429
1961-12-24;97.82857
1961-12-31;97.35714
1962-01-07;96.22857
1962-01-14;95.97143
1962-01-21;96.21429
1962-01-28;99.17143
1962-02-04;97.5
1962-02-11;97.02857
1962-02-18;99.78571
1962-02-25;95.91428
1962-03-04;95.22857
1962-03-11;95.77143
1962-03-18;89.64285
1962-03-25;78.542854
1962-04-01;77.07143
1962-04-08;79.47143
1962-04-15;75.557144
1962-04-22;81.7
1962-04-29;61.942856
1962-05-06;59.014286
1962-05-13;58.614285
1962-05-20;54.914288
1962-05-27;51.185715
1962-06-03;66.88571
1962-06-10;48.114285
1962-06-17;46.314285
1962-06-24;52.714287
1962-07-01;50.82857
1962-07-08;65.314285
1962-07-15;69.828575
1962-07-22;79.957146
1962-07-29;73.52857
1962-08-05;65.41428
1962-08-12;62.528572
1962-08-19;59.714287
