Date;BOF (%nFK)
1961-01-01;99.1
1961-01-08;99.88571
1961-01-15;99.85714
1961-01-22;98.25714
1961-01-29;98.8
1961-02-05;99.74286
1961-02-12;99.442856
1961-02-19;96.27143
1961-02-26;90.58572
1961-03-05;96.51429
1961-03-12;87.3
1961-03-19;82.957146
1961-03-26;94.84286
1961-04-02;99.7
1961-04-09;99.042854
1961-04-16;95.51428
1961-04-23;91.3
1961-04-30;79.25714
1961-05-07;84.91428
1961-05-14;99.01428
1961-05-21;95.02857
1961-05-28;86.6
1961-06-04;95.92857
1961-06-11;87.85714
1961-06-18;89.12857
1961-06-25;75.057144
1961-07-02;63.600002
1961-07-09;55.228573
1961-07-16;56.45714
1961-07-23;62.342857
1961-07-30;61.057144
1961-08-06;61.814285
1961-08-13;68.88571
1961-08-20;86.11429
1961-08-27;84.32857
1961-09-03;60.342857
1961-09-10;56.485714
1961-09-17;56.5
1961-09-24;46.728573
1961-10-01;41.428574
1961-10-08;39.485714
1961-10-15;38.057144
1961-10-22;39.45714
1961-10-29;59.857143
1961-11-05;65.97143
1961-11-12;91.84286
1961-11-19;99.08572
1961-11-26;97.8
1961-12-03;99.9
1961-12-10;98.51428
1961-12-17;99.21429
1961-12-24;97.82857
1961-12-31;97.35714
1962-01-07;96.22857
1962-01-14;95.957146
1962-01-21;96.185715
1962-01-28;99.17143
1962-02-04;97.48571
1962-02-11;97.02857
1962-02-18;99.78571
1962-02-25;95.91428
1962-03-04;95.2
1962-03-11;95.957146
1962-03-18;90.58572
1962-03-25;81.51428
1962-04-01;80.47143
1962-04-08;83.0
1962-04-15;80.85714
1962-04-22;85.62857
1962-04-29;72.685715
1962-05-06;70.671425
1962-05-13;70.5
1962-05-20;67.814285
1962-05-27;64.11429
1962-06-03;69.51428
1962-06-10;58.74286
1962-06-17;52.37143
1962-06-24;51.24286
1962-07-01;45.557144
1962-07-08;48.785717
1962-07-15;47.228573
1962-07-22;57.857143
1962-07-29;51.95714
1962-08-05;42.54286
1962-08-12;40.485714
1962-08-19;41.771427
