Date;BOF (%nFK)
2006-01-01;99.6
2006-01-08;98.85714
2006-01-15;94.71429
2006-01-22;97.557144
2006-01-29;97.22857
2006-02-05;93.542854
2006-02-12;99.35714
2006-02-19;98.82857
2006-02-26;95.41428
2006-03-05;95.1
2006-03-12;98.98572
2006-03-19;97.12857
2006-03-26;89.314285
2006-04-02;95.685715
2006-04-09;88.542854
2006-04-16;80.957146
2006-04-23;81.75714
2006-04-30;75.51428
2006-05-07;65.2
2006-05-14;44.357143
2006-05-21;42.82857
2006-05-28;48.785713
2006-06-04;60.985714
2006-06-11;56.471428
2006-06-18;40.385715
2006-06-25;41.685715
2006-07-02;46.87143
2006-07-09;45.228573
2006-07-16;45.285713
2006-07-23;38.942856
2006-07-30;33.32857
2006-08-06;34.54286
2006-08-13;52.1
2006-08-20;54.471428
2006-08-27;56.9
2006-09-03;71.22857
2006-09-10;66.58572
2006-09-17;54.528572
2006-09-24;44.75714
2006-10-01;39.614285
2006-10-08;73.7
2006-10-15;74.58572
2006-10-22;66.3
2006-10-29;69.27143
2006-11-05;98.4
2006-11-12;99.314285
2006-11-19;96.671425
2006-11-26;98.3
2006-12-03;93.71429
2006-12-10;95.057144
2006-12-17;99.557144
2006-12-24;99.3
2006-12-31;98.942856
2007-01-07;100.0
2007-01-14;99.85714
2007-01-21;98.91428
2007-01-28;99.48572
2007-02-04;99.814285
2007-02-11;99.65714
2007-02-18;98.828575
2007-02-25;92.828575
2007-03-04;98.98572
2007-03-11;94.74286
2007-03-18;82.24286
2007-03-25;89.35714
2007-04-01;79.9
2007-04-08;62.971428
2007-04-15;51.685715
2007-04-22;37.12857
2007-04-29;26.285713
2007-05-06;14.157143
2007-05-13;36.842857
2007-05-20;49.82857
2007-05-27;85.34286
2007-06-03;90.185715
2007-06-10;71.557144
2007-06-17;68.75714
2007-06-24;86.700005
2007-07-01;84.457146
2007-07-08;84.185715
2007-07-15;83.87143
2007-07-22;78.64286
2007-07-29;82.1
2007-08-05;80.5
2007-08-12;73.37143
2007-08-19;69.34286
2007-08-26;86.171425
2007-09-02;81.84286
2007-09-09;94.14286
2007-09-16;96.057144
2007-09-23;88.8
2007-09-30;91.14286
2007-10-07;93.6
2007-10-14;85.542854
2007-10-21;80.57143
2007-10-28;88.67143
2007-11-04;86.24286
2007-11-11;98.3
2007-11-18;99.72857
2007-11-25;97.74286
2007-12-02;99.314285
2007-12-09;99.78571
2007-12-16;99.48571
2007-12-23;96.98572
2007-12-30;93.5
2008-01-06;95.97143
2008-01-13;99.15714
2008-01-20;96.685715
2008-01-27;99.58572
2008-02-03;99.4
2008-02-10;96.75714
2008-02-17;91.72857
2008-02-24;88.27143
2008-03-02;89.02857
2008-03-09;97.67143
2008-03-16;95.3
2008-03-23;99.7
2008-03-30;95.1
2008-04-06;93.88571
2008-04-13;98.814285
2008-04-20;98.11429
2008-04-27;92.11429
2008-05-04;77.12857
2008-05-11;58.514286
2008-05-18;42.357143
2008-05-25;41.157143
2008-06-01;35.285713
2008-06-08;30.757143
2008-06-15;28.714285
2008-06-22;33.67143
2008-06-29;61.62857
2008-07-06;67.88571
2008-07-13;80.35714
2008-07-20;83.72857
2008-07-27;81.9
2008-08-03;69.07143
2008-08-10;68.37143
2008-08-17;81.942856
2008-08-24;86.02857
2008-08-31;84.12857
2008-09-07;82.28571
2008-09-14;88.4
2008-09-21;81.57143
2008-09-28;91.42857
2008-10-05;86.54286
2008-10-12;84.71429
2008-10-19;82.07143
2008-10-26;90.02857
2008-11-02;98.98571
2008-11-09;93.9
2008-11-16;88.74286
2008-11-23;95.12857
2008-11-30;98.72857
2008-12-07;97.957146
2008-12-14;99.77143
2008-12-21;99.57143
2008-12-28;99.3
2009-01-04;97.61667
2009-01-11;99.1
2009-01-18;96.57143
2009-01-25;98.71429
2009-02-01;95.77143
2009-02-08;92.75714
2009-02-15;92.5
2009-02-22;99.7
2009-03-01;99.75714
2009-03-08;99.38571
2009-03-15;99.47143
2009-03-22;97.67143
2009-03-29;98.14285
2009-04-05;82.51428
2009-04-12;65.11429
2009-04-19;50.185715
2009-04-26;42.57143
2009-05-03;31.614286
2009-05-10;28.785713
2009-05-17;32.971428
2009-05-24;41.585716
2009-05-31;71.32857
2009-06-07;83.47143
2009-06-14;77.442856
2009-06-21;85.04286
2009-06-28;88.1
2009-07-05;95.42857
2009-07-12;86.97143
2009-07-19;85.28571
2009-07-26;86.54286
2009-08-02;80.15714
2009-08-09;72.07143
2009-08-16;71.22857
2009-08-23;63.82857
2009-08-30;60.642857
2009-09-06;56.7
2009-09-13;52.285713
2009-09-20;47.17143
2009-09-27;39.285713
2009-10-04;48.014286
2009-10-11;58.6
2009-10-18;86.78571
2009-10-25;98.62857
2009-11-01;98.37143
2009-11-08;97.98572
2009-11-15;94.41428
2009-11-22;96.685715
2009-11-29;94.48572
2009-12-06;98.14286
2009-12-13;99.814285
2009-12-20;99.75714
2009-12-27;99.457146
2010-01-03;99.6
2010-01-10;99.62857
2010-01-17;99.042854
2010-01-24;99.51428
2010-01-31;98.91428
2010-02-07;98.91429
2010-02-14;98.814285
2010-02-21;96.88571
2010-02-28;98.02857
2010-03-07;94.28571
2010-03-14;90.07143
2010-03-21;96.48572
2010-03-28;93.42857
2010-04-04;92.24286
2010-04-11;80.21429
2010-04-18;80.9
2010-04-25;65.22857
2010-05-02;55.642857
2010-05-09;77.84286
2010-05-16;79.78571
2010-05-23;82.72857
2010-05-30;94.0
2010-06-06;94.24286
2010-06-13;75.557144
2010-06-20;59.028572
2010-06-27;48.342857
2010-07-04;38.614285
2010-07-11;56.24286
2010-07-18;50.82857
2010-07-25;64.557144
2010-08-01;79.84286
2010-08-08;93.92857
2010-08-15;95.25714
2010-08-22;95.75714
2010-08-29;92.9
2010-09-05;98.200005
2010-09-12;86.0
2010-09-19;95.51428
2010-09-26;89.3
2010-10-03;97.01429
2010-10-10;85.42857
2010-10-17;77.07143
2010-10-24;83.35715
2010-10-31;79.25714
2010-11-07;80.75714
2010-11-14;97.72857
2010-11-21;99.457146
2010-11-28;99.74286
2010-12-05;99.72857
2010-12-12;99.97143
2010-12-19;99.84286
2010-12-26;99.8
2011-01-02;99.5
2011-01-09;99.51428
2011-01-16;99.42857
2011-01-23;99.171425
2011-01-30;98.98572
2011-02-06;97.47143
2011-02-13;96.557144
2011-02-20;95.542854
2011-02-27;89.5
2011-03-06;78.57143
2011-03-13;69.14285
2011-03-20;77.28571
2011-03-27;77.5
2011-04-03;66.5
2011-04-10;69.442856
2011-04-17;81.41428
2011-04-24;70.47143
2011-05-01;53.471428
2011-05-08;49.7
2011-05-15;39.45714
2011-05-22;41.657143
2011-05-29;29.742857
2011-06-05;30.971428
2011-06-12;30.22857
2011-06-19;31.028572
2011-06-26;42.94286
2011-07-03;45.942856
2011-07-10;74.957146
2011-07-17;77.542854
2011-07-24;87.27143
2011-07-31;88.9
2011-08-07;98.21429
2011-08-14;97.25714
2011-08-21;96.35714
2011-08-28;87.87143
2011-09-04;77.542854
2011-09-11;81.15714
2011-09-18;81.72857
2011-09-25;92.42857
2011-10-02;75.78571
2011-10-09;67.47143
2011-10-16;81.957146
2011-10-23;77.7
2011-10-30;71.25714
2011-11-06;64.27143
2011-11-13;58.014286
2011-11-20;54.414288
2011-11-27;51.614285
2011-12-04;50.942856
2011-12-11;76.8
2011-12-18;81.671425
2011-12-25;92.557144
2012-01-01;99.08572
2012-01-08;99.72857
2012-01-15;99.8
2012-01-22;100.0
2012-01-29;98.557144
2012-02-05;93.9
2012-02-12;92.14286
2012-02-19;95.27143
2012-02-26;99.171425
2012-03-04;98.24286
2012-03-11;91.35714
2012-03-18;88.64286
2012-03-25;75.6
2012-04-01;63.785713
2012-04-08;62.37143
2012-04-15;64.85714
2012-04-22;62.728573
2012-04-29;58.17143
2012-05-06;44.014286
2012-05-13;45.357143
2012-05-20;47.014286
2012-05-27;32.471428
2012-06-03;35.75714
2012-06-10;48.514286
2012-06-17;51.714287
2012-06-24;58.442856
2012-07-01;60.87143
2012-07-08;89.21429
2012-07-15;90.22857
2012-07-22;88.942856
2012-07-29;76.28571
2012-08-05;68.14286
2012-08-12;66.11429
2012-08-19;56.157143
2012-08-26;55.57143
2012-09-02;62.657143
2012-09-09;64.08572
2012-09-16;64.42857
2012-09-23;66.08572
2012-09-30;68.35714
2012-10-07;65.64286
2012-10-14;63.685715
2012-10-21;59.842857
2012-10-28;60.1
2012-11-04;76.3
2012-11-11;87.65714
2012-11-18;93.671425
2012-11-25;88.6
2012-12-02;94.557144
2012-12-09;99.7
2012-12-16;99.62857
2012-12-23;99.72857
2012-12-30;99.27143
2013-01-06;99.38333
2013-01-13;99.92857
2013-01-20;98.34286
2013-01-27;99.314285
2013-02-03;99.9
2013-02-10;99.75714
2013-02-17;99.27143
2013-02-24;99.8
2013-03-03;97.828575
2013-03-10;90.48571
2013-03-17;96.457146
2013-03-24;97.02857
2013-03-31;90.65714
2013-04-07;88.14286
2013-04-14;87.6
2013-04-21;75.557144
2013-04-28;60.9
2013-05-05;62.62857
2013-05-12;63.07143
2013-05-19;57.057144
2013-05-26;59.014286
2013-06-02;99.12857
2013-06-09;96.557144
2013-06-16;84.5
2013-06-23;79.24286
2013-06-30;95.48572
2013-07-07;82.61429
2013-07-14;69.67143
2013-07-21;60.314285
2013-07-28;49.771427
2013-08-04;66.97143
2013-08-11;64.7
2013-08-18;60.7
2013-08-25;53.857143
2013-09-01;45.728573
2013-09-08;42.57143
2013-09-15;55.3
2013-09-22;58.857143
2013-09-29;64.71429
2013-10-06;58.142857
2013-10-13;75.72857
2013-10-20;98.12857
2013-10-27;92.78571
2013-11-03;91.02857
2013-11-10;97.62857
2013-11-17;98.77143
2013-11-24;99.01429
2013-12-01;98.685715
2013-12-08;99.457146
2013-12-15;98.51428
2013-12-22;95.28571
2013-12-29;95.22857
2014-01-05;93.15714
2014-01-12;98.72857
2014-01-19;99.557144
