Date;BOF (%nFK)
2006-01-01;99.6
2006-01-08;98.85714
2006-01-15;94.71429
2006-01-22;97.542854
2006-01-29;97.22857
2006-02-05;93.542854
2006-02-12;99.35714
2006-02-19;98.82857
2006-02-26;95.41428
2006-03-05;95.12857
2006-03-12;99.02857
2006-03-19;97.47143
2006-03-26;90.78571
2006-04-02;96.24286
2006-04-09;91.042854
2006-04-16;85.042854
2006-04-23;86.07143
2006-04-30;81.171425
2006-05-07;74.77143
2006-05-14;60.82857
2006-05-21;58.228573
2006-05-28;59.514286
2006-06-04;64.22857
2006-06-11;61.25714
2006-06-18;50.971428
2006-06-25;47.25714
2006-07-02;43.557144
2006-07-09;35.914284
2006-07-16;26.757143
2006-07-23;13.157143
2006-07-30;1.9428571
2006-08-06;11.3714285
2006-08-13;50.3
2006-08-20;48.87143
2006-08-27;46.95714
2006-09-03;63.54286
2006-09-10;52.75714
2006-09-17;38.07143
2006-09-24;29.1
2006-10-01;25.514286
2006-10-08;51.942856
2006-10-15;56.04286
2006-10-22;51.857143
2006-10-29;57.785713
2006-11-05;92.92857
2006-11-12;99.32857
2006-11-19;96.671425
2006-11-26;98.3
2006-12-03;93.71429
2006-12-10;95.057144
2006-12-17;99.557144
2006-12-24;99.3
2006-12-31;98.942856
2007-01-07;100.0
2007-01-14;99.85714
2007-01-21;98.91428
2007-01-28;99.48572
2007-02-04;99.814285
2007-02-11;99.65714
2007-02-18;98.828575
2007-02-25;92.828575
2007-03-04;98.97143
2007-03-11;95.02857
2007-03-18;84.08572
2007-03-25;90.37143
2007-04-01;82.8
2007-04-08;69.35715
2007-04-15;60.585712
2007-04-22;50.07143
2007-04-29;43.114285
2007-05-06;35.8
2007-05-13;50.242855
2007-05-20;58.214287
2007-05-27;77.942856
2007-06-03;94.82857
2007-06-10;83.6
2007-06-17;77.442856
2007-06-24;83.7
2007-07-01;80.5
2007-07-08;78.28571
2007-07-15;74.58572
2007-07-22;66.75714
2007-07-29;74.72857
2007-08-05;72.15714
2007-08-12;61.2
2007-08-19;57.528572
2007-08-26;91.314285
2007-09-02;82.1
2007-09-09;96.38571
2007-09-16;95.671425
2007-09-23;88.4
2007-09-30;91.1
2007-10-07;95.28571
2007-10-14;88.942856
2007-10-21;84.61429
2007-10-28;91.6
2007-11-04;89.72857
2007-11-11;98.814285
2007-11-18;99.72857
2007-11-25;97.74286
2007-12-02;99.314285
2007-12-09;99.78571
2007-12-16;99.48571
2007-12-23;96.98572
2007-12-30;93.5
2008-01-06;95.957146
2008-01-13;99.15714
2008-01-20;96.685715
2008-01-27;99.58572
2008-02-03;99.4
2008-02-10;96.75714
2008-02-17;91.72857
2008-02-24;88.27143
2008-03-02;88.97143
2008-03-09;97.8
2008-03-16;95.65714
2008-03-23;99.75714
2008-03-30;96.0
2008-04-06;95.042854
2008-04-13;99.11429
2008-04-20;98.685715
2008-04-27;94.74286
2008-05-04;84.47143
2008-05-11;72.0
2008-05-18;59.657143
2008-05-25;57.642857
2008-06-01;52.75714
2008-06-08;46.614285
2008-06-15;42.37143
2008-06-22;42.157143
2008-06-29;51.557144
2008-07-06;53.17143
2008-07-13;61.74286
2008-07-20;67.57143
2008-07-27;65.78571
2008-08-03;45.37143
2008-08-10;53.614285
2008-08-17;83.942856
2008-08-24;88.25714
2008-08-31;81.75714
2008-09-07;77.41428
2008-09-14;84.200005
2008-09-21;75.6
2008-09-28;82.88571
2008-10-05;77.75714
2008-10-12;77.24286
2008-10-19;76.07143
2008-10-26;84.0
2008-11-02;98.48572
2008-11-09;94.2
2008-11-16;89.1
2008-11-23;95.25714
2008-11-30;98.72857
2008-12-07;97.942856
2008-12-14;99.77143
2008-12-21;99.57143
2008-12-28;99.3
2009-01-04;97.61667
2009-01-11;99.1
2009-01-18;96.57143
2009-01-25;98.71429
2009-02-01;95.77143
2009-02-08;92.75714
2009-02-15;92.48572
2009-02-22;99.7
2009-03-01;99.75714
2009-03-08;99.38571
2009-03-15;99.52857
2009-03-22;97.957146
2009-03-29;98.47143
2009-04-05;85.92857
2009-04-12;71.61429
2009-04-19;59.885715
2009-04-26;54.614285
2009-05-03;47.4
2009-05-10;46.357143
2009-05-17;49.342857
2009-05-24;51.228573
2009-05-31;64.35715
2009-06-07;71.14286
2009-06-14;68.07143
2009-06-21;71.72857
2009-06-28;73.35714
2009-07-05;92.08572
2009-07-12;88.2
2009-07-19;82.97143
2009-07-26;84.27143
2009-08-02;70.47143
2009-08-09;58.114285
2009-08-16;62.728573
2009-08-23;53.32857
2009-08-30;54.514286
2009-09-06;52.728573
2009-09-13;50.62857
2009-09-20;47.857143
2009-09-27;42.3
2009-10-04;50.685715
2009-10-11;59.357143
2009-10-18;84.828575
2009-10-25;98.88571
2009-11-01;98.51429
2009-11-08;98.057144
2009-11-15;94.57143
2009-11-22;96.71429
2009-11-29;94.48572
2009-12-06;98.14286
2009-12-13;99.814285
2009-12-20;99.75714
2009-12-27;99.457146
2010-01-03;99.6
2010-01-10;99.62857
2010-01-17;99.042854
2010-01-24;99.51428
2010-01-31;98.91428
2010-02-07;98.91429
2010-02-14;98.814285
2010-02-21;96.88571
2010-02-28;98.02857
2010-03-07;94.47143
2010-03-14;90.71429
2010-03-21;96.92857
2010-03-28;94.185715
2010-04-04;93.85715
2010-04-11;84.14285
2010-04-18;84.75714
2010-04-25;73.78571
2010-05-02;66.51428
2010-05-09;79.88571
2010-05-16;81.25714
2010-05-23;83.15714
2010-05-30;91.87143
2010-06-06;97.07143
2010-06-13;85.34286
2010-06-20;74.057144
2010-06-27;64.185715
2010-07-04;50.814285
2010-07-11;53.74286
2010-07-18;41.442856
2010-07-25;64.57143
2010-08-01;90.542854
2010-08-08;95.4
2010-08-15;90.1
2010-08-22;92.12857
2010-08-29;88.58572
2010-09-05;97.67143
2010-09-12;83.42857
2010-09-19;95.3
2010-09-26;90.2
2010-10-03;97.78571
2010-10-10;88.98572
2010-10-17;82.02857
2010-10-24;86.98571
2010-10-31;83.32857
2010-11-07;84.14286
2010-11-14;97.814285
2010-11-21;99.457146
2010-11-28;99.74286
2010-12-05;99.72857
2010-12-12;99.97143
2010-12-19;99.84286
2010-12-26;99.8
2011-01-02;99.5
2011-01-09;99.51428
2011-01-16;99.42857
2011-01-23;99.171425
2011-01-30;98.98572
2011-02-06;97.47143
2011-02-13;96.557144
2011-02-20;95.542854
2011-02-27;89.5
2011-03-06;79.057144
2011-03-13;71.0
2011-03-20;79.328575
2011-03-27;79.942856
2011-04-03;71.24286
2011-04-10;73.48571
2011-04-17;82.057144
2011-04-24;74.8
2011-05-01;63.342857
2011-05-08;60.75714
2011-05-15;53.95714
2011-05-22;54.028572
2011-05-29;46.62857
2011-06-05;44.185715
2011-06-12;40.814285
2011-06-19;38.77143
2011-06-26;40.45714
2011-07-03;37.257145
2011-07-10;53.914284
2011-07-17;57.557144
2011-07-24;79.74286
2011-07-31;81.65714
2011-08-07;95.814285
2011-08-14;94.171425
2011-08-21;92.671425
2011-08-28;80.64286
2011-09-04;69.65714
2011-09-11;77.34286
2011-09-18;79.542854
2011-09-25;93.34286
2011-10-02;79.87143
2011-10-09;73.12857
2011-10-16;84.1
2011-10-23;81.12857
2011-10-30;75.542854
2011-11-06;68.51429
2011-11-13;62.0
2011-11-20;58.17143
2011-11-27;55.185715
2011-12-04;54.3
2011-12-11;79.85714
2011-12-18;84.71429
2011-12-25;94.7
2012-01-01;99.08572
2012-01-08;99.72857
2012-01-15;99.8
2012-01-22;100.0
2012-01-29;98.557144
2012-02-05;93.9
2012-02-12;92.12857
2012-02-19;95.25714
2012-02-26;99.171425
2012-03-04;98.27143
2012-03-11;91.828575
2012-03-18;89.91428
2012-03-25;78.71429
2012-04-01;69.07143
2012-04-08;68.5
2012-04-15;70.42857
2012-04-22;70.04286
2012-04-29;66.957146
2012-05-06;57.24286
2012-05-13;58.214287
2012-05-20;58.585712
2012-05-27;49.228573
2012-06-03;48.3
2012-06-10;52.95714
2012-06-17;53.614285
2012-06-24;55.27143
2012-07-01;52.8
2012-07-08;69.37143
2012-07-15;73.314285
2012-07-22;72.828575
2012-07-29;52.314285
2012-08-05;44.271427
2012-08-12;47.857143
2012-08-19;34.914284
2012-08-26;42.085712
2012-09-02;56.314285
2012-09-09;58.285713
2012-09-16;58.385715
2012-09-23;59.757145
2012-09-30;61.471428
2012-10-07;59.67143
2012-10-14;58.67143
2012-10-21;55.942856
2012-10-28;56.57143
2012-11-04;72.25714
2012-11-11;84.37143
2012-11-18;90.88571
2012-11-25;86.0
2012-12-02;93.457146
2012-12-09;99.7
2012-12-16;99.62857
2012-12-23;99.72857
2012-12-30;99.27143
2013-01-06;99.38333
2013-01-13;99.92857
2013-01-20;98.34286
2013-01-27;99.314285
2013-02-03;99.9
2013-02-10;99.75714
2013-02-17;99.27143
2013-02-24;99.8
2013-03-03;97.88571
2013-03-10;90.88571
2013-03-17;96.814285
2013-03-24;97.38571
2013-03-31;92.11429
2013-04-07;90.457146
2013-04-14;89.814285
2013-04-21;81.38571
2013-04-28;70.75714
2013-05-05;72.08572
2013-05-12;72.25714
2013-05-19;68.21429
2013-05-26;67.457146
2013-06-02;96.85714
2013-06-09;98.07143
2013-06-16;91.5
2013-06-23;85.042854
2013-06-30;96.542854
2013-07-07;87.2
2013-07-14;70.57143
2013-07-21;52.071426
2013-07-28;32.27143
2013-08-04;77.5
2013-08-11;72.7
2013-08-18;64.2
2013-08-25;52.771427
2013-09-01;42.8
2013-09-08;41.24286
2013-09-15;57.528572
2013-09-22;60.157143
2013-09-29;64.47143
2013-10-06;59.157143
2013-10-13;73.828575
2013-10-20;94.78571
2013-10-27;91.02857
2013-11-03;89.78571
2013-11-10;97.11429
2013-11-17;98.77143
2013-11-24;99.01429
2013-12-01;98.685715
2013-12-08;99.457146
2013-12-15;98.51428
2013-12-22;95.28571
2013-12-29;95.21429
2014-01-05;93.14285
2014-01-12;98.7
2014-01-19;99.557144
