Date;BOF (%nFK)
1961-01-01;99.6
1961-01-08;99.21429
1961-01-15;99.91428
1961-01-22;99.057144
1961-01-29;99.1
1961-02-05;99.88571
1961-02-12;99.75714
1961-02-19;98.25714
1961-02-26;95.82857
1961-03-05;94.11429
1961-03-12;86.9
1961-03-19;82.02857
1961-03-26;80.34286
1961-04-02;84.01428
1961-04-09;98.4
1961-04-16;94.814285
1961-04-23;93.74286
1961-04-30;84.37143
1961-05-07;83.58572
1961-05-14;92.7
1961-05-21;91.542854
1961-05-28;87.84286
1961-06-04;94.942856
1961-06-11;83.35714
1961-06-18;92.557144
1961-06-25;77.542854
1961-07-02;68.84286
1961-07-09;67.41428
1961-07-16;73.814285
1961-07-23;78.57143
1961-07-30;76.77143
1961-08-06;75.185715
1961-08-13;73.442856
1961-08-20;72.85714
1961-08-27;74.799995
1961-09-03;67.92857
1961-09-10;66.02857
1961-09-17;65.52857
1961-09-24;58.7
1961-10-01;53.614285
1961-10-08;50.12857
1961-10-15;47.95714
1961-10-22;48.528572
1961-10-29;57.75714
1961-11-05;57.185715
1961-11-12;68.57143
1961-11-19;99.0
1961-11-26;98.4
1961-12-03;99.8
1961-12-10;99.21429
1961-12-17;99.62857
1961-12-24;98.85714
1961-12-31;98.6
1962-01-07;97.25714
1962-01-14;96.0
1962-01-21;94.1
1962-01-28;96.942856
1962-02-04;98.88571
1962-02-11;99.0
1962-02-18;99.85714
1962-02-25;97.9
1962-03-04;96.65714
1962-03-11;97.28571
1962-03-18;91.85715
1962-03-25;84.9
1962-04-01;84.557144
1962-04-08;83.97143
1962-04-15;79.671425
1962-04-22;85.442856
1962-04-29;73.91428
1962-05-06;71.64285
1962-05-13;72.942856
1962-05-20;71.15714
1962-05-27;65.72857
1962-06-03;64.3
1962-06-10;55.414288
1962-06-17;50.62857
1962-06-24;55.1
1962-07-01;56.95714
1962-07-08;66.8
1962-07-15;71.57143
1962-07-22;77.58572
1962-07-29;74.3
1962-08-05;69.61429
1962-08-12;68.52857
1962-08-19;64.57143
1962-08-26;68.01428
1962-09-02;67.27143
1962-09-09;64.42857
1962-09-16;62.04286
1962-09-23;59.885715
1962-09-30;55.814285
1962-10-07;51.385715
1962-10-14;47.971428
1962-10-21;46.028572
1962-10-28;45.07143
1962-11-04;46.22857
1962-11-11;44.74286
1962-11-18;43.885715
1962-11-25;46.771427
1962-12-02;51.814285
1962-12-09;51.6
1962-12-16;55.028572
1962-12-23;70.74286
1962-12-30;71.92857
1963-01-06;80.21429
1963-01-13;82.67143
1963-01-20;82.12857
1963-01-27;81.957146
1963-02-03;83.41428
1963-02-10;83.2
1963-02-17;82.15714
1963-02-24;83.48572
1963-03-03;79.92857
1963-03-10;76.27143
1963-03-17;76.557144
1963-03-24;78.3
1963-03-31;74.02857
1963-04-07;68.48571
1963-04-14;70.07143
1963-04-21;72.457146
1963-04-28;66.942856
1963-05-05;66.38571
1963-05-12;58.785713
1963-05-19;52.67143
1963-05-26;49.014286
1963-06-02;43.1
1963-06-09;34.985714
1963-06-16;35.657143
1963-06-23;38.557144
1963-06-30;39.257145
1963-07-07;40.25714
1963-07-14;40.471428
1963-07-21;40.657143
1963-07-28;39.57143
1963-08-04;39.37143
1963-08-11;42.3
1963-08-18;48.714287
1963-08-25;58.42857
1963-09-01;58.285713
1963-09-08;54.45714
1963-09-15;49.6
1963-09-22;49.914284
1963-09-29;55.471428
1963-10-06;58.7
1963-10-13;59.32857
1963-10-20;57.685715
1963-10-27;57.485714
1963-11-03;56.32857
1963-11-10;61.62857
1963-11-17;78.65714
1963-11-24;79.84286
1963-12-01;79.57143
1963-12-08;77.442856
1963-12-15;77.0
1963-12-22;77.97143
1963-12-29;77.557144
1964-01-05;76.01428
1964-01-12;78.21429
1964-01-19;81.942856
1964-01-26;80.314285
1964-02-02;80.38571
1964-02-09;79.47143
1964-02-16;79.87143
1964-02-23;81.700005
1964-03-01;77.22857
1964-03-08;74.15714
1964-03-15;69.25714
1964-03-22;70.08572
1964-03-29;76.32857
1964-04-05;87.67143
1964-04-12;85.27143
1964-04-19;82.51428
1964-04-26;76.02857
1964-05-03;75.442856
1964-05-10;71.48572
1964-05-17;66.65714
1964-05-24;78.88571
1964-05-31;67.48572
1964-06-07;64.442856
1964-06-14;55.428574
1964-06-21;44.942856
1964-06-28;42.528572
1964-07-05;46.228573
1964-07-12;42.142857
1964-07-19;43.74286
1964-07-26;41.985714
1964-08-02;38.657143
1964-08-09;36.45714
1964-08-16;54.57143
1964-08-23;56.45714
1964-08-30;52.74286
1964-09-06;49.271427
1964-09-13;48.271427
1964-09-20;46.7
1964-09-27;46.971428
1964-10-04;43.885715
1964-10-11;41.485714
1964-10-18;43.657143
1964-10-25;47.42857
1964-11-01;46.314285
1964-11-08;45.87143
1964-11-15;48.07143
1964-11-22;58.714287
1964-11-29;58.685715
1964-12-06;60.5
1964-12-13;62.4
1964-12-20;64.057144
1964-12-27;65.57143
1965-01-03;70.1
1965-01-10;74.542854
1965-01-17;77.58572
1965-01-24;82.15714
1965-01-31;90.02857
1965-02-07;97.02857
1965-02-14;97.87143
1965-02-21;97.15714
1965-02-28;94.72857
1965-03-07;98.24286
1965-03-14;92.685715
1965-03-21;88.7
1965-03-28;90.07143
1965-04-04;83.21429
1965-04-11;76.32857
1965-04-18;79.1
1965-04-25;81.185715
1965-05-02;91.57143
1965-05-09;89.84286
1965-05-16;91.27143
1965-05-23;84.87143
1965-05-30;74.35714
1965-06-06;62.657143
1965-06-13;65.22857
1965-06-20;61.95714
1965-06-27;52.7
1965-07-04;44.271427
1965-07-11;41.057144
1965-07-18;48.24286
1965-07-25;56.657143
1965-08-01;55.442856
1965-08-08;54.2
1965-08-15;51.157143
1965-08-22;46.485714
1965-08-29;47.185715
1965-09-05;45.32857
1965-09-12;46.54286
1965-09-19;45.24286
1965-09-26;42.87143
1965-10-03;63.45714
1965-10-10;61.95714
1965-10-17;59.67143
1965-10-24;59.342857
1965-10-31;57.24286
1965-11-07;55.985714
1965-11-14;59.742855
1965-11-21;67.21429
1965-11-28;83.37143
1965-12-05;84.57143
1965-12-12;85.685715
1965-12-19;99.91428
1965-12-26;99.97143
1966-01-02;99.52857
1966-01-09;99.74286
1966-01-16;99.9
1966-01-23;99.61429
1966-01-30;99.557144
1966-02-06;99.8
1966-02-13;99.957146
1966-02-20;99.557144
1966-02-27;96.75714
1966-03-06;97.428566
1966-03-13;94.442856
1966-03-20;92.88571
1966-03-27;87.6
1966-04-03;92.2
1966-04-10;86.84286
1966-04-17;96.88571
1966-04-24;97.0
1966-05-01;89.78571
1966-05-08;79.0
1966-05-15;77.58572
1966-05-22;63.54286
1966-05-29;61.67143
1966-06-05;56.785713
1966-06-12;48.285713
1966-06-19;44.82857
1966-06-26;56.385715
1966-07-03;77.57143
1966-07-10;76.37143
1966-07-17;78.15714
1966-07-24;93.814285
1966-07-31;93.38571
1966-08-07;90.814285
1966-08-14;85.92857
1966-08-21;78.47143
1966-08-28;83.85714
1966-09-04;82.2
1966-09-11;79.442856
1966-09-18;77.47143
1966-09-25;73.9
1966-10-02;72.185715
1966-10-09;66.457146
1966-10-16;65.942856
1966-10-23;66.34286
1966-10-30;92.442856
1966-11-06;97.85714
1966-11-13;98.5
1966-11-20;99.58572
1966-11-27;99.35715
1966-12-04;99.82857
1966-12-11;99.71429
1966-12-18;99.98572
1966-12-25;100.0
1967-01-01;99.74286
1967-01-08;99.9
1967-01-15;99.74286
1967-01-22;98.957146
1967-01-29;99.62857
1967-02-05;99.32857
1967-02-12;97.457146
1967-02-19;94.314285
1967-02-26;96.34286
1967-03-05;96.11429
1967-03-12;91.71429
1967-03-19;95.51428
1967-03-26;98.84286
1967-04-02;92.47143
1967-04-09;91.72857
1967-04-16;93.67143
1967-04-23;94.42857
1967-04-30;89.28571
1967-05-07;85.58572
1967-05-14;70.5
1967-05-21;64.07143
1967-05-28;58.857143
1967-06-04;79.38571
1967-06-11;75.814285
1967-06-18;86.942856
1967-06-25;89.77143
1967-07-02;88.5
1967-07-09;85.77143
1967-07-16;86.12857
1967-07-23;88.542854
1967-07-30;83.02857
1967-08-06;81.15714
1967-08-13;81.61429
1967-08-20;80.72857
1967-08-27;75.75714
1967-09-03;72.9
1967-09-10;71.65714
1967-09-17;81.67143
1967-09-24;88.24286
1967-10-01;85.314285
1967-10-08;81.542854
1967-10-15;77.71429
1967-10-22;77.557144
1967-10-29;82.057144
1967-11-05;79.314285
1967-11-12;79.21429
1967-11-19;80.57143
1967-11-26;79.07143
1967-12-03;90.11429
1967-12-10;92.75714
1967-12-17;96.11429
1967-12-24;99.58572
1967-12-31;99.671425
1968-01-07;99.4
1968-01-14;99.814285
1968-01-21;98.957146
1968-01-28;99.22857
1968-02-04;98.171425
1968-02-11;96.88571
1968-02-18;98.5
1968-02-25;98.38571
1968-03-03;97.38571
1968-03-10;99.42857
1968-03-17;96.12857
1968-03-24;91.21429
1968-03-31;82.71429
1968-04-07;73.34286
1968-04-14;64.9
1968-04-21;54.8
1968-04-28;50.385715
1968-05-05;57.74286
1968-05-12;64.88571
1968-05-19;63.45714
1968-05-26;57.642857
1968-06-02;50.67143
1968-06-09;48.57143
1968-06-16;55.24286
1968-06-23;60.085716
1968-06-30;64.828575
1968-07-07;64.1
1968-07-14;66.9
1968-07-21;66.7
1968-07-28;70.200005
1968-08-04;67.51428
1968-08-11;62.04286
1968-08-18;58.6
1968-08-25;55.6
1968-09-01;54.085712
1968-09-08;53.7
1968-09-15;52.54286
1968-09-22;58.928574
1968-09-29;62.057144
1968-10-06;72.942856
1968-10-13;81.38571
1968-10-20;85.671425
1968-10-27;82.314285
1968-11-03;79.74286
1968-11-10;94.87143
1968-11-17;98.24286
1968-11-24;99.78571
1968-12-01;98.35714
1968-12-08;96.35714
1968-12-15;94.8
1968-12-22;95.942856
1968-12-29;99.98572
1969-01-05;99.9
1969-01-12;98.9
1969-01-19;97.057144
1969-01-26;99.4
1969-02-02;99.11429
1969-02-09;98.67143
1969-02-16;99.07143
1969-02-23;98.814285
1969-03-02;98.67143
1969-03-09;93.97143
1969-03-16;97.57143
1969-03-23;96.02857
1969-03-30;91.9
1969-04-06;94.957146
1969-04-13;83.61429
1969-04-20;84.5
1969-04-27;84.442856
1969-05-04;86.4
1969-05-11;97.11429
1969-05-18;83.8
1969-05-25;80.314285
1969-06-01;72.35714
1969-06-08;74.02857
1969-06-15;66.057144
1969-06-22;61.3
1969-06-29;67.2
1969-07-06;69.71429
1969-07-13;71.08572
1969-07-20;69.91428
1969-07-27;65.5
1969-08-03;59.471428
1969-08-10;53.614285
1969-08-17;52.857143
1969-08-24;54.62857
1969-08-31;57.2
1969-09-07;58.42857
1969-09-14;55.342857
1969-09-21;51.057144
1969-09-28;48.42857
1969-10-05;49.471428
1969-10-12;49.485714
1969-10-19;46.82857
1969-10-26;52.214287
1969-11-02;57.614285
1969-11-09;60.9
1969-11-16;66.35714
1969-11-23;67.57143
1969-11-30;77.9
1969-12-07;85.8
1969-12-14;90.38571
1969-12-21;98.52857
1969-12-28;99.557144
1970-01-04;100.0
1970-01-11;99.78571
1970-01-18;99.3
1970-01-25;98.8
1970-02-01;99.685715
1970-02-08;99.61429
1970-02-15;99.65714
1970-02-22;98.814285
1970-03-01;99.7
1970-03-08;99.52857
1970-03-15;94.685715
1970-03-22;91.38571
1970-03-29;89.171425
1970-04-05;88.6
1970-04-12;89.62857
1970-04-19;95.61429
1970-04-26;94.185715
1970-05-03;94.57143
1970-05-10;86.51428
1970-05-17;79.22857
1970-05-24;70.27143
1970-05-31;70.957146
1970-06-07;74.15714
1970-06-14;66.3
1970-06-21;58.971428
1970-06-28;64.27143
1970-07-05;76.185715
1970-07-12;73.2
1970-07-19;71.11429
1970-07-26;68.62857
1970-08-02;73.671425
1970-08-09;94.057144
1970-08-16;96.814285
1970-08-23;97.32857
1970-08-30;96.457146
1970-09-06;92.457146
1970-09-13;92.4
1970-09-20;91.35714
1970-09-27;85.0
1970-10-04;88.58572
1970-10-11;95.92857
1970-10-18;93.42857
1970-10-25;97.88571
1970-11-01;99.91428
1970-11-08;99.84286
1970-11-15;99.91428
1970-11-22;99.72857
1970-11-29;98.457146
1970-12-06;99.11429
1970-12-13;98.15714
1970-12-20;96.98571
1970-12-27;96.98572
1971-01-03;99.74286
1971-01-10;98.67143
1971-01-17;97.685715
1971-01-24;98.52857
1971-01-31;99.15714
1971-02-07;97.91428
1971-02-14;96.21429
1971-02-21;94.457146
1971-02-28;97.51428
1971-03-07;99.12857
1971-03-14;96.47143
1971-03-21;89.5
1971-03-28;85.12857
1971-04-04;81.98572
1971-04-11;76.64286
1971-04-18;68.71429
1971-04-25;64.11429
1971-05-02;76.34286
1971-05-09;62.557144
1971-05-16;55.842857
1971-05-23;63.100002
1971-05-30;67.2
1971-06-06;65.52857
1971-06-13;67.15714
1971-06-20;71.042854
1971-06-27;74.84286
1971-07-04;79.042854
1971-07-11;71.71429
1971-07-18;67.87143
1971-07-25;64.57143
1971-08-01;59.87143
1971-08-08;54.04286
1971-08-15;49.357143
1971-08-22;48.185715
1971-08-29;58.57143
1971-09-05;60.942856
1971-09-12;58.17143
1971-09-19;57.585712
1971-09-26;56.614285
1971-10-03;57.214287
1971-10-10;52.985714
1971-10-17;54.014286
1971-10-24;56.485714
1971-10-31;54.471428
1971-11-07;52.271427
1971-11-14;50.971428
1971-11-21;55.6
1971-11-28;60.014286
1971-12-05;59.32857
1971-12-12;62.014286
1971-12-19;65.685715
1971-12-26;73.5
1972-01-02;74.28571
1972-01-09;74.91428
1972-01-16;73.685715
1972-01-23;71.98572
1972-01-30;70.557144
1972-02-06;69.057144
1972-02-13;70.12857
1972-02-20;69.685715
1972-02-27;67.685715
1972-03-05;66.4
1972-03-12;78.314285
1972-03-19;89.32857
1972-03-26;85.41428
1972-04-02;88.78571
1972-04-09;90.15714
1972-04-16;82.5
1972-04-23;79.21429
1972-04-30;71.057144
1972-05-07;60.714287
1972-05-14;63.0
1972-05-21;75.685715
1972-05-28;69.85714
1972-06-04;63.45714
1972-06-11;64.85714
1972-06-18;74.62857
1972-06-25;69.38571
1972-07-02;63.985714
1972-07-09;63.142857
1972-07-16;58.45714
1972-07-23;53.75714
1972-07-30;53.414284
1972-08-06;59.45714
1972-08-13;58.8
1972-08-20;66.11429
1972-08-27;65.71429
1972-09-03;61.55714
1972-09-10;58.057144
1972-09-17;61.842857
1972-09-24;75.48572
1972-10-01;79.78571
1972-10-08;75.87143
1972-10-15;71.4
1972-10-22;69.61429
1972-10-29;79.814285
1972-11-05;86.58572
1972-11-12;85.0
1972-11-19;86.78571
1972-11-26;86.814285
1972-12-03;84.685715
1972-12-10;84.78571
1972-12-17;84.07143
1972-12-24;82.557144
1972-12-31;81.21667
1973-01-07;79.91428
1973-01-14;80.11429
1973-01-21;84.88571
1973-01-28;86.62857
1973-02-04;89.27143
1973-02-11;87.25714
1973-02-18;84.185715
1973-02-25;86.52857
1973-03-04;91.42857
1973-03-11;91.84286
1973-03-18;88.685715
1973-03-25;87.12857
1973-04-01;77.61429
1973-04-08;77.4
1973-04-15;73.62857
1973-04-22;71.41428
1973-04-29;68.98572
1973-05-06;72.3
1973-05-13;69.52857
1973-05-20;66.685715
1973-05-27;57.95714
1973-06-03;50.442856
1973-06-10;43.142857
1973-06-17;37.95714
1973-06-24;40.0
1973-07-01;45.5
1973-07-08;41.228573
1973-07-15;41.971428
1973-07-22;45.685715
1973-07-29;46.857143
1973-08-05;45.82857
1973-08-12;43.3
1973-08-19;38.985714
1973-08-26;35.74286
1973-09-02;34.271427
1973-09-09;33.285713
1973-09-16;29.314285
1973-09-23;32.285713
1973-09-30;38.2
1973-10-07;35.785713
1973-10-14;36.5
1973-10-21;48.028572
1973-10-28;62.642857
1973-11-04;60.514286
1973-11-11;63.285713
1973-11-18;67.71429
1973-11-25;67.74286
1973-12-02;67.34286
1973-12-09;71.91428
1973-12-16;76.542854
1973-12-23;77.057144
1973-12-30;75.314285
1974-01-06;74.35714
1974-01-13;79.942856
1974-01-20;82.942856
1974-01-27;84.14286
1974-02-03;82.314285
1974-02-10;91.457146
1974-02-17;93.557144
1974-02-24;95.057144
1974-03-03;96.47143
1974-03-10;93.15714
1974-03-17;90.1
1974-03-24;92.442856
1974-03-31;82.542854
1974-04-07;72.08572
1974-04-14;61.242855
1974-04-21;60.54286
