Date;BOF (%nFK)
2006-01-01;99.5
2006-01-08;99.24286
2006-01-15;95.01429
2006-01-22;97.1
2006-01-29;97.57143
2006-02-05;93.74286
2006-02-12;99.171425
2006-02-19;98.814285
2006-02-26;95.51428
2006-03-05;93.15714
2006-03-12;97.08572
2006-03-19;98.51428
2006-03-26;93.6
2006-04-02;97.67143
2006-04-09;92.64286
2006-04-16;85.72857
2006-04-23;85.51428
2006-04-30;77.88571
2006-05-07;72.61429
2006-05-14;60.3
2006-05-21;62.485714
2006-05-28;63.600002
2006-06-04;70.38571
2006-06-11;66.12857
2006-06-18;59.057144
2006-06-25;60.257145
2006-07-02;55.614285
2006-07-09;55.942856
2006-07-16;50.514286
2006-07-23;33.385715
2006-07-30;23.457144
2006-08-06;31.742857
2006-08-13;69.51428
2006-08-20;73.21429
2006-08-27;74.24286
2006-09-03;81.057144
2006-09-10;75.24286
2006-09-17;58.2
2006-09-24;48.142857
2006-10-01;43.757145
2006-10-08;63.67143
2006-10-15;64.685715
2006-10-22;59.728573
2006-10-29;63.37143
2006-11-05;97.11429
2006-11-12;99.1
2006-11-19;96.58572
2006-11-26;95.47143
2006-12-03;90.84286
2006-12-10;90.25714
2006-12-17;96.78571
2006-12-24;99.328575
2006-12-31;98.84286
2007-01-07;100.0
2007-01-14;99.34286
2007-01-21;98.5
2007-01-28;99.77143
2007-02-04;99.42857
2007-02-11;99.21429
2007-02-18;98.84286
2007-02-25;92.34286
2007-03-04;99.65714
2007-03-11;96.22857
2007-03-18;86.64286
2007-03-25;92.22857
2007-04-01;83.98571
2007-04-08;70.08572
2007-04-15;61.2
2007-04-22;50.857143
2007-04-29;43.45714
2007-05-06;36.528572
2007-05-13;49.714287
2007-05-20;58.357143
2007-05-27;59.857143
2007-06-03;76.942856
2007-06-10;68.25714
2007-06-17;62.357143
2007-06-24;65.41428
2007-07-01;63.77143
2007-07-08;62.557144
2007-07-15;60.2
2007-07-22;51.62857
2007-07-29;61.357143
2007-08-05;61.714287
2007-08-12;50.87143
2007-08-19;53.45714
2007-08-26;67.91429
2007-09-02;66.457146
2007-09-09;77.828575
2007-09-16;89.21429
2007-09-23;80.67143
2007-09-30;84.72857
2007-10-07;93.92857
