Date;BOF (%nFK)
2006-01-01;99.5
2006-01-08;99.24286
2006-01-15;95.01429
2006-01-22;97.1
2006-01-29;97.57143
2006-02-05;93.74286
2006-02-12;99.171425
2006-02-19;98.814285
2006-02-26;95.51428
2006-03-05;93.02857
2006-03-12;97.01428
2006-03-19;98.48571
2006-03-26;93.64286
2006-04-02;97.7
2006-04-09;92.91428
2006-04-16;86.37143
2006-04-23;86.08572
2006-04-30;78.72857
2006-05-07;74.57143
2006-05-14;64.12857
2006-05-21;65.1
2006-05-28;65.27143
2006-06-04;70.299995
2006-06-11;65.14286
2006-06-18;57.1
2006-06-25;57.2
2006-07-02;52.642857
2006-07-09;53.25714
2006-07-16;48.642857
2006-07-23;36.4
2006-07-30;27.72857
2006-08-06;31.742857
2006-08-13;65.97143
2006-08-20;71.82857
2006-08-27;75.17143
2006-09-03;86.457146
2006-09-10;78.6
2006-09-17;57.714287
2006-09-24;45.32857
2006-10-01;40.357143
2006-10-08;61.685715
2006-10-15;61.2
2006-10-22;57.014286
2006-10-29;60.7
2006-11-05;94.22857
2006-11-12;99.042854
2006-11-19;96.65714
2006-11-26;95.65714
2006-12-03;91.0
2006-12-10;90.442856
2006-12-17;96.91428
2006-12-24;99.37143
2006-12-31;98.84286
2007-01-07;100.0
2007-01-14;99.34286
2007-01-21;98.5
2007-01-28;99.77143
2007-02-04;99.42857
2007-02-11;99.21429
2007-02-18;98.84286
2007-02-25;92.34286
2007-03-04;99.65714
2007-03-11;96.185715
2007-03-18;86.37143
2007-03-25;92.27143
2007-04-01;84.25714
2007-04-08;70.828575
2007-04-15;62.771427
2007-04-22;52.785713
2007-04-29;45.885715
2007-05-06;41.142857
2007-05-13;53.685715
2007-05-20;60.857143
2007-05-27;61.45714
2007-06-03;75.557144
2007-06-10;66.957146
2007-06-17;59.985714
2007-06-24;61.971428
2007-07-01;60.357143
2007-07-08;59.442856
2007-07-15;57.514286
2007-07-22;50.514286
2007-07-29;56.32857
2007-08-05;56.62857
2007-08-12;49.3
2007-08-19;52.142857
2007-08-26;68.0
2007-09-02;67.171425
2007-09-09;80.64285
2007-09-16;92.78571
2007-09-23;81.1
2007-09-30;84.67143
2007-10-07;93.98572
