Date;BOF (%nFK)
2006-01-01;99.5
2006-01-08;99.24286
2006-01-15;95.01429
2006-01-22;97.1
2006-01-29;97.57143
2006-02-05;93.74286
2006-02-12;99.171425
2006-02-19;98.814285
2006-02-26;95.51428
2006-03-05;93.02857
2006-03-12;97.01428
2006-03-19;98.48571
2006-03-26;93.64286
2006-04-02;97.7
2006-04-09;92.91428
2006-04-16;86.41428
2006-04-23;86.14286
2006-04-30;78.814285
2006-05-07;74.72857
2006-05-14;64.37143
2006-05-21;65.35714
2006-05-28;65.557144
2006-06-04;70.557144
2006-06-11;65.38571
2006-06-18;57.3
2006-06-25;57.357143
2006-07-02;52.7
2006-07-09;53.12857
2006-07-16;48.12857
2006-07-23;35.07143
2006-07-30;25.642857
2006-08-06;29.142857
2006-08-13;63.4
2006-08-20;69.314285
2006-08-27;72.442856
2006-09-03;83.685715
2006-09-10;76.057144
2006-09-17;55.9
2006-09-24;44.12857
2006-10-01;39.585716
2006-10-08;61.028572
2006-10-15;60.557144
2006-10-22;56.285713
2006-10-29;59.9
2006-11-05;93.38572
2006-11-12;98.71429
2006-11-19;96.65714
2006-11-26;95.65714
2006-12-03;91.0
2006-12-10;90.41428
2006-12-17;96.9
2006-12-24;99.35714
2006-12-31;98.84286
2007-01-07;100.0
2007-01-14;99.34286
2007-01-21;98.5
2007-01-28;99.77143
2007-02-04;99.42857
2007-02-11;99.21429
2007-02-18;98.84286
2007-02-25;92.34286
2007-03-04;99.65714
2007-03-11;96.185715
2007-03-18;86.457146
2007-03-25;92.314285
2007-04-01;84.27142
2007-04-08;70.9
2007-04-15;62.92857
2007-04-22;52.985714
2007-04-29;46.2
2007-05-06;41.57143
2007-05-13;54.17143
2007-05-20;61.314285
2007-05-27;61.87143
2007-06-03;75.957146
2007-06-10;67.32857
2007-06-17;60.314285
2007-06-24;62.2
2007-07-01;60.54286
2007-07-08;59.5
2007-07-15;57.37143
2007-07-22;49.75714
2007-07-29;55.028572
2007-08-05;54.82857
2007-08-12;46.728573
2007-08-19;49.44286
2007-08-26;65.542854
2007-09-02;65.08572
2007-09-09;78.685715
2007-09-16;92.057144
2007-09-23;80.685715
2007-09-30;84.45714
2007-10-07;93.9
