Station:;OO536;;;;;;;;
Hauptfrucht:;Wintergerste;Zwischenfrucht:;keine;;;;;;
Flexibilisierung:;keine;;;;;;;;
Jahr;Tag;PET;AET;SNKk;PERC;BOF;BOF;SWI;ZG
;mm;mm;mm;mm;%nFK;Vol%;mm;cm;
2006;1;0,3;0,37;0;0;99,5;27,6;553,6;50
2006;2;0,3;0,3;0;0;99,1;27,6;553,3;50
2006;3;0,3;0,31;3,1;2,1;100;27,7;554;50
2006;4;0,3;0,29;0,3;0;100;27,7;554;50
2006;5;0,3;0,3;0;0;99,6;27,6;553,7;50
2006;6;0,2;0,28;0;0;99,2;27,6;553,4;50
2006;7;0,3;0,31;0;0;98,8;27,5;553,1;50
2006;8;0,6;0,65;0;0;98;27,4;552,4;50
2006;9;0,6;0,68;0;0;97,2;27,3;551,8;50
2006;10;0,6;0,66;0;0;96,3;27,1;551,1;50
2006;11;0,8;0,85;0;0;95,3;27;550,3;50
2006;12;0,3;0,3;0,4;0;95,4;27;550,4;50
2006;13;0,7;0,73;0;0;94,5;26,8;549,7;50
2006;14;0,7;0,76;0;0;93,6;26,7;548,9;50
2006;15;0,6;0,63;0;0;92,8;26,6;548,3;50
2006;16;0,6;0,6;0;0;92;26,4;547,7;50
2006;17;0,5;0,48;2;0;93,9;26,7;549,2;50
2006;18;0,3;0,31;2,9;0;97,1;27,2;551,7;50
2006;19;0,3;0,29;0;0;96,7;27,2;551,4;50
2006;20;0,3;0,38;4,4;1,4;100;27,7;554;50
2006;21;0,3;0,37;7;6,7;100;27,7;554;50
2006;22;0,2;0,23;0,3;0;100;27,7;554;50
2006;23;0,3;0,32;0;0;99,6;27,6;553,7;50
2006;24;0,6;0,68;0;0;98,7;27,5;553;50
2006;25;0,2;0,26;0;0;98,4;27,4;552,7;50
2006;26;0,3;0,39;0;0;97,9;27,4;552,4;50
2006;27;0,6;0,65;0;0;97,1;27,2;551,7;50
2006;28;0,7;0,75;0;0;96,1;27,1;551;50
2006;29;0,7;0,73;0;0;95,2;26,9;550,2;50
2006;30;0,7;0,72;0;0;94,3;26,8;549,5;50
2006;31;0,3;0,31;0;0;93,9;26,7;549,2;50
2006;32;0,8;0,82;0;0;92,9;26,6;548,4;50
2006;33;0,6;0,6;0;0;92,1;26,5;547,8;50
2006;34;0,3;0,3;0,1;0;91,9;26,4;547,6;50
2006;35;0,3;0,32;3,4;0;95,8;27;550,7;50
2006;36;0,3;0,34;0;0;95,3;27;550,3;50
2006;37;0,7;0,8;0,3;0;94,6;26,9;549,8;50
2006;38;0,4;0,43;6,2;1,5;100;27,7;554;50
2006;39;0,4;0,46;2,5;2,1;100;27,7;554;50
2006;40;0,4;0,46;1,3;0,8;100;27,7;554;50
2006;41;0,4;0,43;5,5;5;100;27,7;554;50
2006;42;0,4;0,48;1;0,6;100;27,7;554;50
2006;43;0,5;0,57;0,3;0;99,6;27,6;553,7;50
2006;44;0,8;0,87;0;0;98,5;27,5;552,8;50
2006;45;1;1,15;0;0;97,1;27,2;551,7;50
2006;46;0,6;0,62;3,9;0,9;100;27,7;554;50
2006;47;0,5;0,54;1,8;1,2;100;27,7;554;50
2006;48;0,7;0,81;0;0;99;27,5;553,2;50
2006;49;0,8;0,95;1,1;0;99,2;27,6;553,3;50
2006;50;0,9;0,97;0;0;97,9;27,4;552,4;50
2006;51;0,4;0,49;0,1;0;97,5;27,3;552;50
2006;52;0,4;0,48;0,1;0;97;27,2;551,6;50
2006;53;0,4;0,46;0;0;96,4;27,1;551,2;50
2006;54;0,6;0,68;0;0;95,6;27;550,5;50
2006;55;1,1;1,19;0;0;94,1;26,8;549,3;50
2006;56;0,4;0,42;0;0;93,5;26,7;548,9;50
2006;57;0,4;0,41;1,2;0;94,5;26,8;549,6;50
2006;58;1,1;1,13;0;0;93,1;26,6;548,5;50
2006;59;0,6;0,58;0,3;0;92,7;26,5;548,2;50
2006;60;0,7;0,7;2,2;0;94,6;26,8;549,7;50
2006;61;1,3;1,39;0;0;93;26,6;548,3;51,7
2006;62;0,7;0,7;1,3;0;93,8;26,7;548,9;51,7
2006;63;0,8;0,88;0,5;0;93,3;26,6;548,6;51,7
2006;64;1,4;1,42;0;0;91,6;26,4;547,1;51,7
2006;65;1;1;2,9;0;93,9;26,7;549;51,7
2006;66;0,8;0,84;0,5;0;93,7;26,7;548,7;53,3
2006;67;1,4;1,45;0;0;92;26,4;547,2;53,3
2006;68;0,5;0,62;15,2;7,8;100;27,7;554;53,3
2006;69;1,4;1,61;3,7;2,1;100;27,7;554;53,3
2006;70;0,5;0,61;7,8;7,2;100;27,7;554;53,3
2006;71;0,4;0,53;7,7;7,1;100;27,7;554;55
2006;72;1;1,17;0;0;98,7;27,5;552,8;55
2006;73;0,9;1,02;0;0;97,6;27,3;551,8;56,7
2006;74;0,5;0,56;0,3;0;97,2;27,3;551,5;56,7
2006;75;0,7;0,74;1,8;0;98,4;27,5;552,6;56,7
2006;76;0,6;0,65;2;0;99,9;27,7;553,9;58,3
2006;77;0,6;0,66;0,5;0;99,7;27,7;553,7;58,3
2006;78;1,3;1,47;0;0;98,1;27,4;552,3;58,3
2006;79;1,2;1,37;0;0;96,6;27,2;550,9;58,3
2006;80;1,3;1,45;0;0;95,1;26,9;549,5;58,3
2006;81;1,6;1,72;0;0;93,4;26,7;547,7;60
2006;82;2,1;2,15;0;0;91,1;26,3;545,6;60
2006;83;1,9;1,95;0;0;89,1;26;543,6;60
2006;84;0,8;0,85;4,3;0;92,7;26,5;547,1;60
2006;85;1;1,11;5,4;0;97,2;27,3;551,4;60
2006;86;2,1;2,48;3,2;0;98;27,4;552,1;61,7
2006;87;0,9;1,03;0;0;97;27,2;551;61,7
2006;88;1,4;1,55;0;0;95,4;27;549,5;61,7
2006;89;1,2;1,35;2,8;0;96,8;27,2;550,9;61,7
2006;90;1,4;1,57;7,3;2,6;100;27,7;554;63,3
2006;91;1,7;1,91;0,8;0;98,9;27,5;552,9;63,3
2006;92;2,4;2,72;1,4;0;97,6;27,3;551,6;65
2006;93;1,4;1,55;1,3;0;97,4;27,3;551,3;65
2006;94;1,3;1,45;0,4;0;96,4;27,1;550,3;65
2006;95;1,3;1,45;0;0;95;26,9;548,9;65
2006;96;1,7;1,86;0;0;93,2;26,6;547;65
2006;97;1,8;1,87;0;0;91,6;26,4;545,2;66,7
2006;98;3,3;3,37;0;0;88,4;25,9;541,8;66,7
2006;99;2,1;2,01;0;0;86,5;25,6;539,8;66,7
2006;100;0,9;0,83;0,8;0;86,4;25,6;539,7;66,7
2006;101;1,1;1,05;0;0;85,4;25,4;538,7;66,7
2006;102;0,9;0,83;0,6;0;85,5;25,4;538,4;68,3
2006;103;1,2;1,2;2,4;0;86,7;25,6;539,6;68,3
2006;104;1,6;1,55;0,6;0;86,1;25,5;538,6;70
2006;105;2,8;2,65;0,3;0;84;25,2;536,3;70
2006;106;1,2;1,11;3,3;0;86;25,5;538,5;70
2006;107;1,1;1,16;6,9;0;91,4;26,3;544,3;71,7
2006;108;2,3;2,47;0;0;89,2;26;541,8;71,7
2006;109;1,9;1,97;0;0;87,8;25,8;539,8;73,3
2006;110;3,7;3,64;0;0;84,6;25,3;536,2;73,3
2006;111;2,6;2,39;0;0;82,6;24,9;533,8;73,3
2006;112;1,8;1,64;0,7;0;82,1;24,9;532,8;75
2006;113;1,6;1,43;0;0;80,9;24,7;531,4;75
2006;114;2,8;2,46;0;0;79,3;24,4;528,9;76,7
2006;115;4,2;3,67;0;0;76,3;24;525,3;76,7
2006;116;2,7;2,22;0,2;0;75,2;23,8;523,3;78,3
2006;117;1,4;1,16;0,8;0;74,8;23,7;522,9;78,3
2006;118;1,3;1,11;2,5;0;76;23,9;524,3;78,3
2006;119;1,2;1,14;8,7;0;82,5;24,9;531,8;80
2006;120;1,8;1,77;0;0;81,1;24,7;530,1;80
2006;121;2,7;2,53;0;0;79,5;24,5;527,5;81,7
2006;122;3,1;2,8;0;0;77,3;24,1;524,7;81,7
2006;123;4,5;3,82;0;0;74,9;23,7;520,9;83,3
2006;124;4,1;3,35;0;0;72,3;23,3;517,6;83,3
2006;125;4,4;3,53;0;0;70,2;23;514;85
2006;126;4;3,12;0;0;67,9;22,6;510,9;85
2006;127;4,2;3,15;0;0;66,2;22,4;507,7;86,7
2006;128;4;2,92;0;0;64,1;22;504,8;86,7
2006;129;4,4;3,11;0;0;62,5;21,8;501,7;88,3
2006;130;4,5;3,13;0;0;60,3;21,4;498,6;88,3
2006;131;4,7;3,19;0;0;58,8;21,2;495,4;90
2006;132;4,7;3,08;0;0;57,4;21;492,3;91,7
2006;133;2;1,42;3,6;0;58,9;21,2;494,5;91,7
2006;134;1,7;1,57;2,2;0;60,1;21,4;495,2;93,3
2006;135;3,5;2,4;0;0;59,2;21,3;492,8;95
2006;136;3,5;4,04;9,2;0;62,7;21,8;498;95
2006;137;2;1,43;0;0;62,4;21,8;496,5;96,7
2006;138;1,4;1,61;3,3;0;63,5;21,9;498,2;96,7
2006;139;2,7;1,96;0,1;0;62,9;21,8;496,4;98,3
2006;140;2,6;2,5;3,4;0;63,5;21,9;497,3;98,3
2006;141;2;1,46;0,1;0;63,2;21,9;495,9;100
2006;142;3,9;2,94;0,7;0;61,8;21,7;493,6;100
2006;143;3,4;2,47;0,3;0;61,1;21,6;491,5;101,7
2006;144;3,9;2,69;0;0;59,4;21,3;488,8;101,7
2006;145;1,6;1,59;2,5;0;60,7;21,5;489,8;103,3
2006;146;2,3;3,03;9,4;0;65,1;22,2;496,1;105
2006;147;2;2,56;8,8;0;68,8;22,8;502,3;105
2006;148;2,6;2,24;0,6;0;68,3;22,7;500,6;106,7
2006;149;2;2,54;5,5;0;70,1;23;503,6;106,7
2006;150;2;2,33;4,2;0;71,6;23,2;505,4;108,3
2006;151;1,3;1,45;2,4;0;72,2;23,3;506,4;108,3
2006;152;2,8;2,51;0,7;0;71,5;23,2;504,6;110
2006;153;3,9;3,33;0;0;69,6;22,9;501,2;110
2006;154;3,4;3,01;1,4;0;68,7;22,8;499,6;110
2006;155;1,7;1,58;1,3;0;69;22,8;499,4;111,7
2006;156;1,5;1,18;0;0;68,4;22,7;498,2;111,7
2006;157;2;2,51;4,8;0;70,1;23;500,5;113,3
2006;158;4,2;3,38;0;0;68,3;22,7;497,2;113,3
2006;159;4;3,13;0;0;66,5;22,4;494;113,3
2006;160;4,5;3,43;0;0;65,1;22,2;490,6;115
2006;161;4,8;3,6;0;0;63,1;21,9;487;115
2006;162;5,6;4,1;0;0;61,4;21,6;482,9;116,7
2006;163;5,9;4,2;0;0;59,1;21,2;478,7;116,7
2006;164;6,1;4,22;0;0;57,5;21;474,5;118,3
2006;165;6;4,04;0;0;55,3;20,6;470,4;118,3
2006;166;4,3;2,8;0;0;54,4;20,5;467,6;120
2006;167;3;3,84;20,9;0;63,4;21,9;484,7;120
2006;168;2,6;2,09;0,1;0;62,9;21,8;482,7;121,7
